customer_id,first_name,last_name,email,phone_number,registration_date,loyalty_program_status,date_of_birth,gender,membership_level,preferred_contact_method
ee75f58e-3b19-48d2-880b-f65f71123b30,Marvin,Summers,gregorygiles@example.com,305-565-3167,2021-09-21,Gold,1945-05-27,Male,Bronze,Phone
12f250b8-00e1-4ab6-bcdd-47a9f9d5a1a5,Tina,Stevenson,brittany81@example.com,+1-721-306-5236x457,2020-01-15,Silver,1986-08-17,Female,Bronze,Phone
dfd939e6-e729-4d87-b6ad-3a10c92fe243,Jennifer,Ward,batespatty@example.net,(442)951-3327,2020-10-29,None,1951-09-27,Female,Platinum,Phone
428e7ed2-d971-4b27-8eb1-328f1c5e360c,Samantha,Smith,hallsheila@example.com,966-766-5070,2020-09-08,Gold,1952-07-10,Female,Bronze,Phone
ea737794-766d-4b3c-8411-e3d3aa3e2fb8,Tara,Kim,kristenray@example.org,+1-817-504-4926x970,2021-08-14,Bronze,2006-06-02,Female,Gold,Email
2433d54e-3b09-455c-bb3c-cf22426dbe0a,Heather,Phelps,boydkyle@example.org,+1-918-967-9370x3260,2024-05-31,Silver,1953-04-25,Male,Platinum,SMS
77d6d389-c24c-45c5-b586-65e000b9da2d,Rachel,Miller,joshua54@example.net,001-294-593-3472x05382,2022-10-21,Bronze,1958-03-05,Male,Gold,Phone
2aafd887-bfa8-44da-8b0a-487d10e1d455,Teresa,Flowers,taylorpatricia@example.org,473-203-8608,2020-02-01,Gold,1988-09-21,Male,Platinum,SMS
e5e1d092-164a-4b3d-98d9-1e9b289eff1b,Bryan,Montes,williamphillips@example.com,(633)687-2871x214,2021-01-01,Bronze,1979-10-26,Male,Bronze,SMS
c3c0a954-facf-4845-8e68-4389893a27eb,Jeffery,Campbell,cheryl06@example.net,648-720-3532x08054,2021-04-14,Silver,1968-04-05,Female,Gold,SMS
a7ab73f4-36e9-4218-8ec0-9b889ed2ebe1,Amanda,Hernandez,ashleywiley@example.com,001-367-258-6054x752,2022-03-16,Bronze,1980-06-17,Male,Silver,SMS
b64d9ca7-c623-46f7-aea6-d97bc7fa2e18,Jamie,Gonzales,gregory34@example.com,577-521-5785x9118,2020-10-18,Silver,1990-07-19,Female,Silver,SMS
15238047-5ff9-4f52-b479-d2a51d4d4413,Colleen,Smith,paul93@example.net,419.671.7588x071,2021-08-29,Bronze,1998-02-14,Male,Gold,Phone
b4db6b6a-77ae-4dd7-9288-be9dce9d6cea,James,Turner,linda17@example.com,+1-485-951-3435x69921,2021-11-04,None,1946-02-28,Female,Platinum,SMS
b48c64f4-20b5-45ff-8ed9-382084612bab,Richard,Peterson,charles69@example.com,001-436-907-0959x21188,2020-11-04,Bronze,1976-05-11,Male,Bronze,Phone
e6fcc90f-df44-428f-8d46-538c29dd8379,Monica,French,bradyjones@example.net,+1-225-587-2417x2447,2021-09-20,Bronze,1952-11-07,Male,Gold,Email
70176e93-3d38-4c40-8c4f-a1736a6a7cf0,Corey,Chung,strongholly@example.net,(333)837-2099x34168,2021-08-04,Silver,1960-12-04,Female,Bronze,SMS
72131f5f-63a7-48a1-ac51-2a625d3655ed,Sandra,Parrish,christine77@example.com,433.967.9222,2021-07-03,Silver,2002-11-30,Female,Bronze,SMS
94b84452-2123-4dfa-a0a1-04626a4add6e,Michelle,Carney,margaret71@example.net,8172764349,2023-08-20,Silver,2003-03-25,Male,Platinum,Email
39c007b0-360b-41be-8f4d-62c534570c6e,Rebecca,Dougherty,greenmelinda@example.com,+1-221-574-8469x6881,2020-07-13,Gold,1968-12-07,Female,Silver,Email
d44040c8-a650-4e80-a067-94f33b04cd39,Michael,Carter,andreaharris@example.net,(672)604-3872,2024-08-19,Gold,1998-07-25,Male,Silver,Email
3aa276b1-6cde-4054-83ad-458e90172f6e,Alejandra,Blair,robert51@example.com,(630)690-5584x03163,2023-05-23,Silver,2005-10-02,Female,Bronze,Phone
5db2e055-62a8-4a4e-bc60-1704b2c2309f,Jackson,Johnson,tball@example.com,(900)645-0783,2021-10-21,Bronze,1979-11-19,Female,Platinum,SMS
33d7f186-6fb0-4a6a-a3e5-8f2d25811852,Christopher,Strong,lawsonkatherine@example.com,(608)556-4705x595,2023-08-30,Bronze,1976-09-21,Male,Bronze,Phone
6a977aad-f41c-4fea-b67d-9038b7086c7b,Lisa,Malone,valerie88@example.com,835.229.6724x0957,2021-12-03,None,1990-07-13,Female,Bronze,Email
5d7264cd-4e87-4a40-b8a9-214e4402fd45,Melissa,Olsen,znewman@example.com,479-915-7451,2020-12-10,Gold,1976-10-04,Female,Platinum,Phone
3608428e-048c-402b-bdee-6ca2ff9c12ce,Michael,Butler,smithrobert@example.net,+1-233-589-6827,2021-11-06,Silver,2004-09-24,Female,Silver,Email
619e8fb3-eae4-4b33-9e91-d1356a22c4b6,Andrew,Smith,elizabethmaddox@example.org,+1-400-982-2272x5093,2022-11-25,None,1992-03-06,Male,Silver,Phone
f8ad4e8b-0f43-47d0-bb4b-9c292c061cc0,Brian,Meadows,scott73@example.net,+1-423-889-1750x20177,2020-07-10,Gold,1986-06-17,Female,Platinum,SMS
959bf93d-c38b-4e47-b556-1a70edb0869b,Brandy,Cannon,kylebautista@example.com,961.364.9575,2021-05-02,Silver,1993-08-26,Female,Gold,SMS
873568f0-c37e-4166-85c6-ba83f668ccd8,Lauren,Rivers,lawrencehaley@example.net,(562)844-2578x65897,2021-12-01,Bronze,1987-01-11,Male,Gold,SMS
40066e5d-1c99-4948-8070-2d89cefd7c87,Daniel,Schmidt,campbellfernando@example.net,546-852-2974x14692,2022-12-29,None,1949-12-21,Male,Silver,Email
b802bb48-892e-4fc0-9cad-34d3d91b0935,Amanda,Mcdaniel,elee@example.org,409.396.4199,2023-11-03,None,1999-03-15,Female,Gold,Phone
c7d4a5aa-fc71-4d71-a384-ada19ef6caf6,Jason,Whitaker,edward05@example.org,(750)598-6898,2021-09-18,Gold,2005-06-01,Male,Gold,Phone
d3098752-a36a-4f8a-8631-b72656c60004,Danny,Adams,lozanowilliam@example.com,489.895.7717x56833,2020-08-01,None,1948-03-07,Male,Bronze,Email
1529dcfc-0677-4788-a98f-9d2fb1a0bd6c,Brenda,Walters,dawndavenport@example.org,692.351.8976x77623,2024-08-17,Gold,1954-03-31,Male,Platinum,Phone
16d1b561-67a9-490a-a876-21f4985975bb,Gerald,Brooks,ambertrevino@example.org,442.893.9427,2021-01-16,Gold,2000-03-22,Female,Bronze,SMS
df11a667-e157-4d3b-ade6-7c7814b5d955,Tammy,Malone,allisonrobert@example.net,001-220-773-2282x745,2024-07-15,Gold,1952-12-16,Female,Gold,SMS
00c139b8-241c-40ef-8998-9f04eaa9a7ff,John,Obrien,ariascarolyn@example.net,989-947-9970x342,2024-01-14,None,1990-11-30,Female,Gold,SMS
11283410-14f6-4866-8a64-54f1cd838cd2,Scott,Davis,dpena@example.com,208.861.6899,2021-08-03,Silver,1991-06-12,Female,Gold,Phone
9149f13b-dde9-4e2e-b12b-3eed8dd0a0cb,Jennifer,Snyder,adamcarter@example.net,(495)951-4785x051,2020-10-27,Bronze,1991-10-24,Male,Silver,SMS
ed78eea2-4f25-4dcf-8295-e37adfa16147,Alexander,Parker,nmills@example.org,(433)269-5101x62067,2022-09-03,Bronze,1996-11-22,Male,Gold,SMS
af2c9d0c-471d-4be2-b088-8242cfb35a8d,Matthew,Hamilton,adam07@example.org,(743)247-8920x38552,2022-08-25,Gold,1992-12-17,Male,Gold,Phone
77b68f66-d3d7-4038-933d-b7f109d6278c,Alexandra,Gibson,tracie86@example.org,826.329.4864,2024-08-14,Silver,2005-01-29,Male,Silver,Email
e889af65-138f-4cb0-9210-c6b72fd79af0,Daniel,Mcgee,evansbrian@example.com,463.982.8094x38259,2021-04-30,Gold,1998-07-22,Female,Silver,Email
e7f5c927-13dd-4afe-98cf-9d3c13972569,Shawn,Mcdaniel,nancy46@example.org,922-621-5542x628,2023-08-27,Bronze,1993-09-16,Male,Gold,SMS
ca24800d-a4de-4154-ba46-5c41ee896559,Christine,Hall,williamharris@example.net,911-952-1630x032,2020-02-12,Silver,1977-07-03,Male,Silver,Phone
a8c67ff4-77a0-48d3-b0a0-f6578f858afd,Scott,Moyer,fho@example.org,866.954.1285,2022-05-25,Gold,1944-02-21,Male,Gold,SMS
a3193bb6-6ae5-47fa-83ff-46cb006cfbc1,Kimberly,Ibarra,charlene31@example.org,459.281.9259x13605,2022-05-02,None,1961-11-26,Male,Bronze,Email
4d3ac748-45d3-4ad1-8754-f6780c4357a0,Jennifer,Smith,jamesmiller@example.com,+1-463-465-4670x371,2022-01-20,Bronze,1975-09-23,Female,Gold,SMS
7519e3e3-1976-4625-8cae-b82b4f8606ba,Leah,Skinner,stewartsheryl@example.org,+1-525-693-9793,2020-03-22,Gold,1974-10-18,Male,Silver,Email
c5f0d02c-e8c0-4252-8522-3f62b16c2674,Marcus,Davis,gail67@example.org,(957)227-0571x504,2023-08-20,Bronze,1968-04-25,Female,Silver,Phone
08b942cb-01f3-434a-ac6a-9e317d5e20fb,Mark,Lee,tara12@example.net,655.397.5287,2020-06-16,Gold,2005-03-25,Female,Gold,Phone
54672327-84f9-47b4-adde-12f09bbb4a8a,Christopher,Green,yvonne62@example.org,001-875-931-6831x6695,2022-10-23,Gold,1969-07-21,Female,Bronze,SMS
bb4bdb66-78e9-4a95-9e45-650dca52d645,Eric,Anderson,ricky57@example.com,001-557-490-1794,2020-07-01,Bronze,1988-07-04,Male,Gold,Email
fdb756b4-6396-42b1-a515-4df80adb8c6e,Robert,Gutierrez,xallison@example.net,520.628.6608x394,2021-12-08,Bronze,1964-11-20,Male,Silver,SMS
a4ff8784-5874-4858-b1cd-4b8fcd324274,Xavier,Parsons,lisarodriguez@example.com,(763)373-1861x171,2021-05-01,Bronze,1973-03-24,Male,Silver,Email
90d7196f-55a9-4fe1-a044-cca43d079f5b,David,Frey,melissa55@example.net,592-545-4174,2023-06-21,Gold,1996-04-20,Male,Silver,Email
3b0236f8-2bc3-4800-9cac-6294f781debe,Jessica,Harris,alexander08@example.com,860.579.7947,2022-12-27,Bronze,1975-05-07,Female,Silver,SMS
43e44c91-2588-4613-860c-fdb97ffc3304,Sherri,Johnson,bschaefer@example.com,219.358.1425,2020-05-17,Gold,2006-08-16,Female,Silver,Phone
714ea1a2-f523-4389-9543-562431e23268,James,Walker,diane84@example.org,001-576-709-4739x89991,2020-11-11,Silver,1997-10-03,Male,Bronze,Phone
4a2db65e-0fbf-4ffe-ac10-6aa26635d66c,Terri,Hartman,wmcfarland@example.com,001-245-425-1244x27246,2020-07-31,Bronze,1994-05-25,Female,Platinum,Email
fdc5b13b-f720-40e3-8637-0279d92cb3b7,Brian,Clark,leonarderic@example.org,001-241-871-4654x30689,2021-11-03,Silver,1996-10-14,Male,Gold,Email
2d3144c9-c1fe-4817-bf0f-3d1912e8691f,John,Miller,phillip09@example.org,001-762-676-7547x6755,2022-01-11,None,1962-03-17,Male,Bronze,Phone
8affe67c-3a7b-43b6-b6f4-072a211876b2,Charles,Johnson,ivasquez@example.com,001-400-288-4864x7688,2021-01-26,Bronze,2005-03-28,Male,Bronze,SMS
82289ec6-776c-4c9b-a795-094c6b344903,William,Harrison,luisday@example.org,575.399.0126x368,2021-09-28,None,1963-09-23,Female,Platinum,SMS
6494f732-3cf6-4e43-b44b-aac05fc2ca5e,Leslie,Evans,cassandra84@example.net,776-798-0861x83677,2022-12-31,None,1972-03-22,Female,Platinum,Phone
eea10c39-3b93-42b4-a911-ed3bf97e92ee,Michael,Brewer,ronaldmartin@example.com,001-376-283-4093x478,2023-10-22,Silver,1986-04-25,Female,Silver,Email
ba9d1162-5e81-4831-a68e-1c881285dce1,Jason,Todd,lharris@example.com,(236)385-2450,2024-01-24,Gold,2000-07-19,Male,Silver,SMS
c34fba5b-6576-484c-ab1f-d085b40482ab,Timothy,Warner,burkesteven@example.org,973-294-8206x53664,2021-11-20,Gold,1994-02-27,Female,Platinum,Email
ad419131-e901-4779-ba1a-cabf42c9ef26,Alexander,Martin,roger52@example.org,9546315512,2020-01-04,Bronze,1977-11-09,Female,Gold,Email
3339af57-9608-4e7a-99eb-ec8e449ff53f,Austin,White,deanna80@example.com,001-263-396-1857,2022-06-27,Bronze,1968-06-29,Male,Platinum,Phone
bdeed5e0-ac18-4d95-bb0c-0e7d96970f75,Andrew,Thomas,tylerpamela@example.com,9586294737,2020-07-21,Gold,2004-09-04,Male,Bronze,Phone
9ef1d573-2407-45d6-a932-6e90bc19524c,Amanda,Wells,millerphilip@example.org,905.443.5742,2021-10-24,Silver,2005-01-12,Male,Gold,SMS
adad9696-5091-4b67-a0e3-8ff5bf677378,Garrett,Moss,mcguiremichael@example.com,001-847-221-0386x65009,2023-03-24,Silver,1963-03-31,Female,Bronze,Email
560d3664-7abe-425b-8c18-dda78da859f4,Scott,Wright,morgan26@example.org,001-661-864-1213x94758,2022-10-06,Gold,1961-11-17,Male,Platinum,SMS
f9468ff3-da18-45c0-af7c-ac2e845d9dec,Michael,Carter,gnguyen@example.org,8969067747,2023-12-10,Silver,2006-03-09,Male,Bronze,Email
9a17f42b-59c3-4a60-a6bf-753ec7509993,Richard,Gallagher,kristinadonovan@example.org,001-302-945-2049x051,2022-10-26,None,1967-08-23,Male,Silver,Email
cd15ec46-9007-4e10-af33-31386edf0da6,James,Hooper,justintaylor@example.com,(732)713-0263x088,2024-02-25,Silver,1998-05-10,Male,Gold,Phone
adff865b-4b93-4373-b62b-728c59e281f3,Meredith,Cole,uwarren@example.net,001-574-548-8352x87358,2020-07-03,Bronze,1960-04-25,Male,Bronze,SMS
99e42e65-4eda-46eb-a6f9-3c9faa8c145c,Michelle,Sharp,fhernandez@example.net,+1-400-552-1390,2023-04-26,Gold,1958-07-15,Female,Platinum,SMS
87f2901b-8931-4563-815c-c8da8eadf6a7,Laura,Smith,samantha38@example.net,268.439.6383,2020-09-23,Gold,1970-02-10,Female,Gold,Email
262a80b8-ae64-41b9-9571-ebac470327c0,Tammy,Mayo,michael03@example.com,957.563.0457x679,2020-03-24,Bronze,2005-05-18,Male,Silver,Email
a6ff175e-cc0f-4726-924e-3bc6bce41a76,Pamela,Martin,rromero@example.com,713-409-7999x3453,2022-11-26,None,1986-04-30,Male,Bronze,Phone
3c85774e-1a47-480b-bc0b-fd968c30ec6d,Riley,Dalton,hartmanlisa@example.net,001-522-756-3606,2022-06-15,Gold,1992-11-09,Female,Platinum,SMS
5cd94016-feb2-4387-ac4e-d84b2d7d8bea,Douglas,Flores,markgomez@example.net,001-942-550-8647,2024-02-13,Bronze,1954-03-11,Female,Platinum,Email
a8a1e565-6c0d-4031-9f99-f1bdc6c32808,Jacob,Martin,lauren96@example.net,303.259.0865,2023-09-05,Bronze,1949-03-06,Male,Bronze,SMS
8326f64f-cadf-4251-aac5-93b989e8b0cf,Amy,Choi,benderkristin@example.com,496.390.1791x15422,2021-12-20,Gold,1967-07-16,Male,Platinum,Email
e3c0bad8-3e4f-4482-8ca9-348c737d1686,Robert,Thompson,thall@example.net,(693)349-0852x15094,2023-04-03,Gold,1997-01-18,Male,Silver,SMS
83ff4de4-5571-43c2-a934-053437c1ba64,Ryan,Osborne,whodges@example.org,001-549-577-5172x87869,2022-03-06,Bronze,1972-05-04,Female,Platinum,Email
57ae65ef-b3a6-4671-98dc-e5353578d9ce,William,Green,kelly56@example.com,797.415.6335x9146,2021-08-09,Bronze,1999-07-26,Female,Platinum,SMS
1284dd4c-dbda-4e37-9c9e-45775b1c82e5,Raymond,Kim,timothydonaldson@example.com,001-273-614-5272,2022-09-10,Gold,1971-01-13,Female,Platinum,Phone
3368d7fc-1711-442e-8c81-de91d547d291,Rebekah,Smith,tsantiago@example.net,612-281-4999,2020-02-03,Silver,1985-04-18,Male,Silver,Phone
58f85fd2-d5b8-402c-b433-be3861fc6ab9,Emily,Bowers,joshua67@example.com,+1-725-466-5423x59151,2023-10-19,Bronze,1984-01-22,Female,Silver,Phone
cf51462d-7549-415b-8944-0aa0c47532bf,Crystal,Osborn,zacharysmith@example.com,824-861-8719,2022-05-13,Gold,1976-12-17,Female,Gold,Email
13f4f232-f831-4640-9348-9afa09d7514b,James,Frazier,kristinmartin@example.com,+1-632-526-7301x8752,2023-05-02,Gold,1992-03-02,Male,Bronze,SMS
22a412c9-3899-4de8-9f92-dc1ef51746a5,Frank,Singh,gainescasey@example.net,+1-563-820-8774x6429,2023-09-21,None,1984-06-06,Female,Gold,Email
ffd60b95-5079-4a71-9ebf-f222170eda27,Savannah,Smith,stevensonjasmine@example.org,556-619-6272,2021-08-31,None,1995-10-26,Male,Silver,Email
9cfa388d-0e6e-4648-8831-ad398a3d075c,Christina,Hammond,ohill@example.org,(417)713-3289x207,2023-11-12,Bronze,1948-07-05,Male,Bronze,Email
f52f8127-004c-4e2e-a43c-a89b1bf01afa,Ronald,Gardner,wayne53@example.com,001-883-522-2438x6580,2020-05-04,Silver,1977-08-13,Female,Gold,Phone
b2165e67-9fd8-444c-b766-b746d9607e1a,Corey,Long,laura88@example.com,809-478-6489,2024-05-30,Bronze,1951-01-24,Male,Platinum,Email
2ec2042f-745e-4b0a-90ef-10f8f557377f,Kyle,Garcia,creyes@example.net,308.987.0645x24961,2022-03-12,Bronze,1951-09-01,Female,Bronze,Email
d2de1459-bd45-4ff1-8610-504cca7a4d01,Misty,Haney,ogallagher@example.org,235.791.8705,2021-06-12,None,1944-02-23,Male,Bronze,Phone
bfcab730-5564-4266-aa89-7c584b604d80,Amy,Fowler,joshuapowell@example.org,(535)698-1645x043,2021-08-16,Silver,1986-10-22,Male,Gold,Phone
40f7ed24-83f3-408c-890a-812a047ec807,Mia,Herrera,francisvictoria@example.com,+1-237-338-1732,2023-10-16,None,1993-01-10,Male,Silver,Phone
9c267828-aafe-49e9-b5d1-701bbd3972ec,Rebekah,Reyes,iayers@example.net,+1-771-525-3075,2022-08-02,Gold,1953-03-16,Female,Gold,Phone
dc5423c3-2adb-47b8-a322-0b6c2c73d16e,William,Smith,mendozacharles@example.com,+1-479-574-6836x0786,2023-06-08,Bronze,1973-05-29,Female,Bronze,SMS
4ebb776c-db21-4597-be13-36779f21c5d0,Erin,Clark,xellis@example.com,557.209.7782x699,2021-01-28,Bronze,1966-01-19,Female,Bronze,Phone
a8a4df4a-bdaa-4553-99c4-0886c5500bfa,Jennifer,Williams,mknight@example.com,001-935-639-8298x9239,2023-01-18,Silver,2000-08-10,Female,Gold,SMS
4c866d6e-ff09-4563-8127-f41b43ed1358,Amanda,Hall,deborah95@example.com,(538)850-4487,2020-06-15,Silver,1964-01-17,Male,Bronze,Phone
d821756c-7496-4981-817e-f561e418e5d8,Brittney,Massey,uroth@example.com,+1-773-343-6486x051,2023-11-07,Bronze,1982-06-20,Male,Silver,Email
2776d875-b7d5-4b45-b685-e9ec592d1371,Allen,Stewart,marshcarl@example.org,001-376-249-6518,2023-08-12,Bronze,1974-06-28,Male,Gold,Phone
2f947171-4a87-4767-8303-14c91f16ac67,Jessica,Mclean,simpsonmiguel@example.net,8779223481,2021-04-19,Bronze,1959-12-31,Female,Platinum,SMS
f83266cc-6b03-4f0f-8a3e-b5d05558dc40,Kelly,Mitchell,fuentespaula@example.com,736.837.7919x663,2020-11-29,None,1982-12-23,Male,Bronze,Phone
bbffc22f-23ed-4591-9aec-651d5f244a11,Shannon,Fitzgerald,carly66@example.org,327.834.7109x613,2020-05-17,None,1957-12-26,Male,Silver,SMS
f9f62058-a910-484e-8a86-03593222e7a6,Whitney,Duncan,weissangela@example.com,304.296.6783,2020-05-13,Gold,1997-12-15,Male,Gold,SMS
a101c6db-a8d2-4d3a-9235-c6d0a4780308,Bonnie,Hutchinson,edawson@example.org,001-872-913-1778,2024-06-29,None,1981-06-29,Female,Silver,Email
2a0b2556-79fc-4efb-85c9-46bfbac4a767,Stephen,Callahan,kristenpalmer@example.com,001-222-382-0937,2020-10-18,None,1953-04-22,Female,Gold,Email
a4a5b4ea-7241-421f-a467-a6b9f280bef5,David,Martin,maxwellpamela@example.org,(263)415-7529,2023-10-23,Silver,1951-08-01,Male,Bronze,Email
a78bcc45-92d9-42ff-ac98-264b1300fe45,Ryan,Ochoa,lisa73@example.org,001-494-954-0734x750,2022-07-28,Silver,1981-10-25,Male,Bronze,Phone
e54a0a70-cb1a-43c3-a41a-f62e321eb8d3,Perry,Davis,jameshorton@example.org,001-613-506-5347,2021-12-10,Bronze,1946-06-11,Male,Platinum,Email
a8635fde-05f0-46cf-b64a-ef480472b1f4,Ronald,Hull,nicholasmurphy@example.org,+1-725-819-2930x81375,2020-08-24,Gold,1979-06-24,Male,Bronze,Email
9bbc72b8-c97d-4c6d-b1cb-a9cdfbb0e566,Caroline,Jackson,ugonzales@example.net,6164711514,2021-09-02,Gold,1960-09-04,Male,Platinum,Email
95e40b13-e1ac-4896-82ed-4c5bc8a7ee7b,Victoria,Weiss,vcoleman@example.net,001-938-908-9799x13653,2020-04-30,None,1978-09-26,Female,Platinum,Email
cc0a3740-0140-49c2-b54c-7996b9f69e61,Mike,Klein,xclark@example.org,001-693-363-5677x291,2023-01-10,Silver,1974-07-21,Male,Bronze,Email
a8e20784-6fea-4439-99a9-b2132a72d72f,Aaron,Moore,ericwashington@example.org,(844)399-4644x714,2023-08-14,Gold,1964-09-29,Male,Gold,Phone
d4acab7e-6710-47d8-809c-cf66829f5fc3,Heather,Garcia,reneebond@example.net,738.999.6259x70077,2023-02-13,Bronze,1976-06-09,Female,Bronze,Email
8f1daf3a-0474-4893-b158-4ae7edae3872,Michael,Brown,traviswright@example.com,902.819.1644x065,2022-07-06,Bronze,1950-08-02,Male,Silver,Email
a635a00c-39de-49d0-b96a-63978b5254d1,Catherine,Weaver,qwilliams@example.org,7523741783,2022-12-16,Gold,1989-02-22,Male,Platinum,Phone
c7df18f1-55fe-4e11-835b-cd48968a4ca0,Taylor,Mills,dhansen@example.com,(840)616-4489x0477,2021-11-23,None,1974-05-04,Male,Bronze,Email
7c71ec5a-a224-48a3-ab93-0bd789c22e0d,William,Calhoun,rebecca67@example.org,(904)573-2393x853,2021-08-29,None,1987-02-01,Female,Gold,Phone
a87d8ab3-ddb6-4c8b-aaff-ad98904ba298,Lauren,Fisher,jpatel@example.org,604-443-4549,2023-04-20,Silver,1946-05-09,Female,Silver,Phone
cbd3f503-314d-4516-bfc2-a06a2015818b,Lucas,Rice,antoniosummers@example.net,+1-590-341-6448x661,2023-03-28,None,1958-08-29,Female,Platinum,Phone
2441b761-99b8-448c-8456-9862156a484c,Kristina,Barrera,sjones@example.net,926.518.9135,2021-12-21,Bronze,1973-02-25,Male,Platinum,Phone
178c65e4-4536-47ba-a2cc-510736d06696,Spencer,Hart,anthony01@example.com,(266)935-3369x09462,2020-02-16,Gold,1957-08-23,Female,Platinum,Phone
03ff00e3-568e-4034-9077-41a7d1ae8dcb,William,Carr,awilson@example.net,523-361-0649,2024-04-11,None,1998-03-22,Female,Silver,Email
2ac9fbc9-5f24-4858-b3ea-3819db978cd9,Tara,Le,mooreroger@example.net,700.515.8607,2021-01-15,Gold,1980-07-13,Female,Gold,Email
d6a4ae40-023a-4412-a816-610db3fc74c7,John,Marshall,scottellis@example.com,2518510996,2021-04-22,None,1962-07-31,Female,Gold,Phone
8bfbc6c9-cf24-4439-b571-78166a5477ee,Dave,Terry,lindseyjones@example.org,504.607.4556,2020-09-06,None,1954-08-02,Male,Bronze,Email
453e4b81-8087-497c-a539-0823df6af455,Sherry,Hardy,johnnelson@example.com,001-631-515-1694,2022-12-26,Silver,1956-08-22,Female,Bronze,Phone
656488a7-8b23-444b-ab21-221bed8aee8c,Heather,Nelson,solomonheather@example.net,876.580.5760x816,2024-07-13,Silver,1965-02-26,Male,Gold,Email
83fbce7e-d8f1-4f61-bbb4-d1d8080bb314,Douglas,Gutierrez,debbie13@example.net,601-906-8011x8477,2022-03-16,Gold,1979-12-08,Male,Silver,SMS
97a2f9ac-6e87-444b-bb24-c39bde89f0dc,Natalie,Hicks,ramirezstephanie@example.com,+1-507-392-2848x3658,2023-12-09,Bronze,2003-09-30,Female,Bronze,SMS
